prefix,빈도 기반_예측,빈도 기반_신뢰도(%),가중치 기반_예측,가중치 기반_신뢰도(%),시뮬레이션 승률(%)
bppppppbpp,p,55.68,b,66.12,100.0
bpbpbpbpbp,p,55.67,p,55.49,-
pbpbpppbbb,b,55.66,b,71,-
pbbbpbbbpp,p,55.65,p,61,33.3
bpbbbbpppp,b,55.56,b,54.05,0.0
bppbpbppbb,p,55.56,p,73.31,-
pbbpppbbbb,p,55.56,b,50.98,100.0
pbpppbppbp,b,55.56,b,64.74,100.0
pbppbbpbpp,b,55.46,b,51.76,-
pbbbpbppbb,b,55.45,b,92.11,-
pbppbbbpbp,b,55.45,p,55.51,-
pbbbbpbbpb,b,55.38,b,82.33,-
pbbbbbbppp,p,55.37,p,58.8,-
bppbpbpbbb,b,55.36,b,71.32,-
pbbbbbpbbp,p,55.36,p,53.88,-
pbbpbppppp,b,55.36,b,50.82,-
bpbppbpbpp,p,55.34,b,63.39,-
bpppbbpbpp,b,55.34,b,59.52,50.0
bpppppbpbp,b,55.29,b,66.82,-
bppbppbbbp,b,55.21,b,93.33,-
pbpppbbbpp,p,55.21,p,77.75,66.7
bpbppbbbbp,b,55.2,b,75.93,-
bppbbppbbp,b,55.2,b,56.04,-
pbppbbbbbb,b,55.2,b,66.53,-
pbbbbbbpbb,b,55.17,p,67.23,-
bpbpbpbbbb,b,55.14,b,71.24,100.0
pbbpppbppp,p,55.1,p,60.55,0.0
bpppbbbpbb,p,55.05,p,63.63,100.0
pbbbpppbpb,p,55,p,84.73,-
bpbbbbpbpp,p,54.95,p,56.04,100.0
bpbppbppbp,b,54.95,b,63.31,-
bppppbbpbp,p,54.95,b,57.67,-
pbbbbbppbb,b,54.95,b,58.37,-
pbbpbbppbb,p,54.95,p,51.6,-
pbbpbpbppp,p,54.95,b,50.62,-
pbpbbbbpbb,p,54.95,b,67.26,-
pbpbbbbbpb,p,54.9,p,66.53,0.0
bpbpbbbpbp,p,54.81,b,53.85,-
pbbbppbbbp,b,54.81,b,66.17,-
bpbpbbpppb,p,54.78,p,66.48,-
bppppbbpbb,p,54.78,b,64.61,100.0
pbbpbbbpbp,b,54.78,p,68.93,-
bpbbbbbbbb,b,54.76,p,54.13,-
bpbpbbppbb,p,54.76,p,71.63,-
pbpbbbppbp,b,54.76,p,79.61,-
bpppbbbbbp,b,54.72,p,62.29,-
pbbpppbpbp,b,54.7,p,60.87,-
bpppbbppbp,p,54.65,p,58.84,100.0
pbpbppbppp,b,54.65,p,58.72,33.3
bppbbppppp,p,54.64,b,75.91,60.0
pbbbbbppbp,b,54.64,b,78.61,75.0
pbppbppppb,b,54.64,p,54.18,-
pbbpbppbpp,p,54.63,b,54.73,0.0
bppbbbbppb,p,54.62,p,55.19,-
pbbpbppppb,b,54.62,p,50.25,-
bpbpbbpppp,b,54.55,b,70.11,-
bpppbbbbpp,b,54.55,p,68.74,-
bppppppppp,p,54.55,p,50.06,-
