run_id,grid_string_id,step,window_size,prefix,confidence,predicted,actual,is_correct,sim_win_rate_pct
3fed7a4f-5725-4e59-abf0-008858c12588,3500,1,9,bpppbbpb,50.26086956521739,p,b,0,60.714285714285715
3fed7a4f-5725-4e59-abf0-008858c12588,3500,2,9,pbbpbbpp,50.99818511796733,p,p,1,56.25
3fed7a4f-5725-4e59-abf0-008858c12588,3500,3,9,bpbbpppp,51.85909980430529,b,p,0,37.93103448275862
3fed7a4f-5725-4e59-abf0-008858c12588,3500,4,9,pbbppppp,50.103092783505154,b,b,1,43.47826086956522
3fed7a4f-5725-4e59-abf0-008858c12588,3500,5,9,bpppppbp,50.4,b,p,0,55.172413793103445
3fed7a4f-5725-4e59-abf0-008858c12588,3500,7,9,bpppbbbp,51.32575757575758,p,p,1,51.92307692307692
3fed7a4f-5725-4e59-abf0-008858c12588,3500,8,9,pbbbpppb,51.18577075098815,p,p,1,44.0
3fed7a4f-5725-4e59-abf0-008858c12588,3500,9,9,bpppbppb,50.09823182711198,b,p,0,50.0
3fed7a4f-5725-4e59-abf0-008858c12588,3500,10,9,pbppbpbp,50.98039215686274,p,p,1,57.89473684210526
3fed7a4f-5725-4e59-abf0-008858c12588,3500,13,9,bpbppbpb,50.18796992481202,p,b,0,50.0
3fed7a4f-5725-4e59-abf0-008858c12588,3500,14,9,pbppbpbb,51.14942528735632,p,p,1,45.45454545454545
3fed7a4f-5725-4e59-abf0-008858c12588,3500,16,9,pbpbbppb,51.39146567717996,b,b,1,50.0
3fed7a4f-5725-4e59-abf0-008858c12588,3500,17,9,bpbbppbb,51.1504424778761,p,p,1,44.0
3fed7a4f-5725-4e59-abf0-008858c12588,3500,18,9,pbbppbbp,50.43936731107206,b,p,0,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3500,19,9,bppbbppp,53.663003663003664,b,p,0,26.666666666666668
3fed7a4f-5725-4e59-abf0-008858c12588,3502,1,9,pbpppppp,50.30549898167006,p,p,1,69.56521739130434
3fed7a4f-5725-4e59-abf0-008858c12588,3502,2,9,bppppppp,51.21951219512195,b,b,1,40.0
